customer_id,average_monthly_account_credit,average_monthly_account_debit,monthly_upi_transaction_count,total_utility_bills,utility_bill_on_time_payment_ratio,missed_utility_bill_count
69,43111.71,32976.58,113,6.0,0.9255365344507887,0.0
70,32109.6,30419.91,112,6.0,0.984108190780583,0.0
71,41710.47,37724.99,114,3.0,0.9904514130097342,0.0
72,48933.84,38645.17,115,6.0,0.9711056409688734,0.0
73,39579.47,29728.32,105,5.0,0.9453390223012281,0.0
74,52624.33,48050.87,99,6.0,0.8955581430386783,1.0
75,24303.36,21663.32,122,6.0,0.9974417382430332,0.0
76,17485.89,15663.88,107,5.0,0.8911204250787907,1.0
77,41217.58,37271.17,107,4.0,0.8803985382985646,1.0
78,37618.6,28771.04,113,6.0,0.9163231170679874,1.0
79,40828.59,33548.58,112,6.0,0.8585260856068583,1.0
80,28080.0,21710.72,114,6.0,0.9967741697007686,0.0
81,38379.48,35409.71,110,6.0,0.9382650334624637,0.0
82,41565.22,36355.42,113,6.0,0.9335428137496262,0.0
83,24845.12,20278.08,107,5.0,0.948369441984958,0.0
84,37396.95,28523.09,119,6.0,0.924553547166581,0.0
85,35282.39,28656.24,109,6.0,0.8548095275641813,1.0
86,12960.89,10563.6,114,6.0,0.9418466933260595,0.0
87,46043.24,41251.11,106,6.0,0.9574260815434645,0.0
88,18560.77,16287.29,108,5.0,0.912512359093608,1.0
89,37544.82,34820.66,113,6.0,0.9635943358106789,0.0
90,43059.95,36361.67,105,5.0,0.8840501949007631,1.0
91,38770.7,30005.38,116,6.0,0.8831914886599276,1.0
92,19287.43,17216.91,115,6.0,0.8742125481531361,1.0
93,35669.97,32179.91,116,6.0,0.9057992139683743,1.0
94,14907.16,12853.78,108,6.0,0.9770518053083626,0.0
95,38063.61,34416.87,106,6.0,0.9741868093223597,0.0
96,31664.74,26875.74,119,6.0,0.9074236311945255,1.0
97,41677.08,35615.0,116,6.0,0.9383678103970354,0.0
98,42383.44,35411.71,113,6.0,0.9581224474712373,0.0
99,39072.22,29502.8,98,6.0,0.8861810161942034,1.0
100,14636.34,11293.08,106,6.0,0.875221162884212,1.0
101,12993.05,9826.46,114,6.0,0.9958143989818466,0.0
102,13320.19,11685.56,103,6.0,0.9426335969814428,0.0
103,38063.24,30940.51,101,4.0,0.9972123582750496,0.0
104,35187.53,29969.71,99,5.0,0.9006633980698343,1.0
105,37807.65,35218.33,106,5.0,0.9554547549961198,0.0
106,42031.36,33619.14,114,3.0,0.8833905454811857,1.0
107,51902.73,43187.05,120,5.0,0.8891800256910869,1.0
108,11942.32,10761.35,117,6.0,0.9267853181904436,0.0
109,40218.16,32003.98,115,6.0,0.8979427188262107,1.0
110,39702.05,30387.79,103,4.0,0.8751432345760877,1.0
111,8747.65,7067.67,119,5.0,0.8894321052983989,1.0
112,38324.08,29978.79,109,6.0,0.8553622591698796,1.0
113,40600.0,37999.14,99,5.0,0.955663543221623,0.0
114,60162.62,54845.7,115,6.0,0.9238174985628792,0.0
115,38361.15,33630.48,123,5.0,0.8641364599606788,1.0
116,41720.45,38561.88,103,5.0,0.8757540989692737,1.0
117,37573.8,34219.75,112,6.0,0.8653801807168966,1.0
118,32591.73,25659.92,104,3.0,0.9418889212413815,0.0
119,19892.63,18470.54,105,4.0,0.8641315545418741,1.0
120,43754.03,37535.2,108,4.0,0.9631423499552824,0.0
121,44830.37,40862.34,113,6.0,0.8530766378980587,1.0
122,29844.05,27731.64,105,6.0,0.8874063681993838,1.0
123,49259.28,40077.38,106,6.0,0.9836000013837861,0.0
124,31761.82,24520.46,107,5.0,0.9577796977183369,0.0
125,43195.95,34366.14,119,3.0,0.8609452499388531,1.0
126,53010.97,44286.51,98,3.0,0.973168915672777,0.0
127,33809.06,30888.06,115,6.0,0.9239552682310307,0.0
128,11208.7,10336.06,113,6.0,0.9770174540753244,0.0
129,40228.53,30227.33,104,6.0,0.940110966167559,0.0
130,37273.96,31762.98,104,6.0,0.9522749548049287,0.0
131,6994.9,5830.13,101,5.0,0.9990252340593562,0.0
132,40569.35,32229.17,99,6.0,0.8848503318886027,1.0
133,14526.8,11243.35,115,4.0,0.9435918362142083,0.0
134,42625.19,34847.07,104,6.0,0.9190482085086098,0.0
135,29043.39,27259.6,115,6.0,0.8559177929384036,1.0
136,20140.28,16407.09,109,2.0,0.8521705962254298,1.0
137,31067.78,26524.37,111,6.0,0.8678842866726788,1.0
138,38191.59,34013.58,109,4.0,0.9473637610807822,0.0
139,44114.44,36294.1,103,6.0,0.9350744631870088,0.0
140,32904.17,31073.27,110,6.0,0.9330144341745591,0.0
141,40092.11,37786.39,110,6.0,0.854778514379239,1.0
142,49443.39,39572.34,112,6.0,0.9203954494540011,0.0
143,30287.14,25727.4,122,6.0,0.9886934226763793,0.0
144,23728.42,19224.18,109,6.0,0.909638780396597,1.0
145,41041.06,33118.83,102,6.0,0.9437383704682685,0.0
146,43952.81,33288.87,110,5.0,0.9669728013434715,0.0
147,27202.7,23718.39,115,3.0,0.9675887918712831,0.0
148,26431.16,22480.65,113,4.0,0.9278920123592906,0.0
149,42164.25,32057.3,109,2.0,0.9786927918103504,0.0
150,42195.7,33998.32,108,6.0,0.908706714004562,1.0
151,14281.17,13305.1,102,6.0,0.9833039822177198,0.0
152,17685.47,14111.46,97,6.0,0.8860340749593317,1.0
153,36268.99,28252.78,107,3.0,0.8920324610485857,1.0
154,42030.37,35637.15,101,6.0,0.8579680936298502,1.0
155,40394.48,38258.82,121,5.0,0.9693372754813424,0.0
156,14316.08,11430.11,111,6.0,0.9125582854349058,1.0
157,51877.16,45881.56,116,6.0,0.8843674920867098,1.0
158,41980.95,37880.41,111,6.0,0.884768541642487,1.0
159,33498.97,26716.35,99,6.0,0.985209991184385,0.0
160,44283.56,39662.27,100,6.0,0.9750874900691555,0.0
161,13338.97,10985.4,116,4.0,0.9330296328035774,0.0
162,17904.78,15692.85,111,6.0,0.9424166200623582,0.0
163,47024.6,41226.75,102,5.0,0.9211488355825437,0.0
164,35428.41,30367.64,113,5.0,0.9087499814318213,1.0
165,24913.18,19134.76,117,6.0,0.9873215321827498,0.0
166,14213.51,13034.65,105,6.0,0.8688419055280453,1.0
167,45531.48,37069.73,114,6.0,0.9127670184574341,1.0
168,33534.53,26401.86,109,4.0,0.9016842861981813,1.0
169,38536.57,29216.69,115,6.0,0.9247226080376723,0.0
170,35989.89,31245.65,107,6.0,0.9186447811817763,0.0
171,30141.66,26690.83,115,4.0,0.9278334297476623,0.0
172,35108.93,26448.17,120,6.0,0.870987846584049,1.0
173,40473.3,34500.19,113,6.0,0.9269712252269915,0.0
174,20941.56,16654.81,92,5.0,0.8863628220830816,1.0
175,40964.92,36009.58,115,6.0,0.8776497023482287,1.0
176,15158.44,11897.46,108,6.0,0.8597251328179286,1.0
177,14279.34,12682.74,107,6.0,0.9643978838134212,0.0
178,20630.8,17068.83,126,5.0,0.914116288128484,1.0
179,15518.15,14545.88,99,6.0,0.9439965524967637,0.0
180,55793.42,43379.62,120,6.0,0.9591390014957115,0.0
181,44076.11,36063.66,107,6.0,0.951897499797033,0.0
182,30186.64,23325.05,108,4.0,0.9205751078634523,0.0
183,34283.49,32052.97,109,6.0,0.9081847793427594,1.0
184,43183.2,39964.66,105,6.0,0.9063939864460996,1.0
185,38860.19,31149.88,113,6.0,0.9460073195395085,0.0
186,43773.72,38608.29,107,5.0,0.924219153241281,0.0
187,42284.76,38624.78,115,6.0,0.9773698371982766,0.0
188,38815.48,33421.69,119,6.0,0.9812052976490068,0.0
189,29954.2,25638.71,112,6.0,0.8755840567009777,1.0
190,31458.11,25115.22,113,6.0,0.8704350477318589,1.0
191,34537.94,26546.57,102,6.0,0.9445601389053999,0.0
192,45355.07,42154.96,104,6.0,0.8951838622093419,1.0
193,41519.14,38616.27,93,3.0,0.8527856078147648,1.0
194,32663.99,28633.92,110,5.0,0.9832964004044433,0.0
195,16981.42,13887.51,119,6.0,0.8840351150865712,1.0
196,25176.34,20640.62,117,6.0,0.9893920977528714,0.0
197,35542.86,31817.66,103,6.0,0.957615167631738,0.0
198,40706.62,37833.63,109,6.0,0.9643980234867227,0.0
199,41034.23,38055.85,101,2.0,0.880219224368974,1.0
200,28026.8,25391.59,108,6.0,0.8851291638425219,1.0
201,41976.39,36872.33,107,5.0,0.9281901630736098,0.0
202,43717.46,33523.77,110,6.0,0.8758149778974793,1.0
203,48770.19,38154.17,105,6.0,0.8958147539024548,1.0
204,46315.02,43059.58,121,6.0,0.8982193716921707,1.0
205,26051.21,22698.05,115,6.0,0.8739444899879146,1.0
206,12512.76,9407.59,116,6.0,0.8807774250092741,1.0
207,42894.5,33041.39,109,6.0,0.9682827763012385,0.0
208,42610.16,37612.0,118,6.0,0.8750793781820903,1.0
209,42733.8,32093.61,94,6.0,0.8542686087765884,1.0
210,40063.49,31336.13,114,6.0,0.9444032413943407,0.0
211,43076.19,37034.61,106,6.0,0.9963974679088675,0.0
212,46371.92,41195.84,105,5.0,0.8996820721934682,1.0
213,46286.96,40750.68,104,6.0,0.8677983554794378,1.0
214,43069.11,34233.65,105,6.0,0.9355580988051296,0.0
215,35464.83,31650.09,102,6.0,0.985953131664347,0.0
216,44862.33,35775.46,117,4.0,0.9676092669742719,0.0
217,35159.89,28658.12,107,6.0,0.9433773802619074,0.0
218,35408.07,31842.42,105,6.0,0.8972584744911399,1.0
219,37428.2,32934.07,91,6.0,0.931282025991433,0.0
220,40513.79,37266.39,113,6.0,0.8636867261956382,1.0
221,59342.37,52311.64,102,6.0,0.9518418136421005,0.0
222,20897.23,18048.13,110,6.0,0.9587644028346476,0.0
223,19488.54,14981.52,93,4.0,0.9947547434364878,0.0
224,23774.18,19579.06,106,6.0,0.8890596038117607,1.0
225,13951.28,11203.44,111,6.0,0.8527684628564534,1.0
226,26368.11,21062.79,113,6.0,0.9318412696640725,0.0
227,40136.43,37912.95,107,5.0,0.9560185756595222,0.0
228,34250.97,28381.02,111,4.0,0.9685611213824482,0.0
229,30878.76,28668.13,102,6.0,0.8790608399537215,1.0
230,44385.43,38891.74,112,6.0,0.8892629303555535,1.0
231,34992.05,31806.45,111,5.0,0.9268886387900944,0.0
232,41797.19,35549.65,106,6.0,0.8995901214955002,1.0
233,38967.66,33721.86,104,6.0,0.9790767229881168,0.0
234,35774.56,30354.84,113,6.0,0.921064023060808,0.0
235,57400.42,45291.72,117,6.0,0.9699367966153004,0.0
236,43608.25,39007.16,105,6.0,0.9370929640723531,0.0
237,27462.47,22138.99,111,6.0,0.9659635212425668,0.0
238,40101.54,30271.18,107,6.0,0.8999009479795486,1.0
239,31775.22,27933.42,116,3.0,0.9747124932895467,0.0
240,20381.42,16008.02,105,2.0,0.8911858473326533,1.0
241,35225.72,33044.96,109,6.0,0.9319148212004936,0.0
242,39561.67,37219.05,119,5.0,0.8821010669760811,1.0
243,23266.05,21706.59,105,6.0,0.921328978243929,0.0
244,44881.74,36983.98,119,4.0,0.8977262814263055,1.0
245,26912.28,20267.4,118,6.0,0.8900055145955821,1.0
246,38051.58,35603.48,117,5.0,0.9950477527042056,0.0
247,37070.46,30977.44,111,4.0,0.8740111158230096,1.0
248,35492.14,33480.84,104,5.0,0.9680988756186093,0.0
249,50573.22,47676.59,102,6.0,0.9976247439224822,0.0
250,43032.99,39616.25,98,6.0,0.8529852225610116,1.0
251,26703.71,21600.36,105,5.0,0.9548541121063142,0.0
252,45482.99,37615.32,101,6.0,0.887936770833443,1.0
253,52946.36,48722.69,111,6.0,0.8560731736492456,1.0
254,44879.36,36504.17,94,6.0,0.9104334368434946,1.0
255,31048.55,24338.91,97,4.0,0.9902826715256312,0.0
256,36631.29,31552.74,106,6.0,0.8517647641550496,1.0
257,49591.9,46479.06,111,3.0,0.9381828537894672,0.0
258,31404.17,27924.77,104,6.0,0.9252094717892987,0.0
259,42288.96,36538.18,107,6.0,0.9810076246556572,0.0
260,44682.72,34380.46,105,3.0,0.8626002571780939,1.0
261,13467.22,11756.9,113,4.0,0.9522289044829976,0.0
262,36863.07,34946.59,109,6.0,0.9520164547649916,0.0
263,15000.43,11670.59,106,6.0,0.9503620025293424,0.0
264,12247.83,10455.55,113,6.0,0.9913501742402555,0.0
265,38612.25,35734.66,101,6.0,0.9734631293510321,0.0
266,32692.54,29362.92,102,6.0,0.8562959089365259,1.0
267,52304.76,46520.02,111,6.0,0.920662427605677,0.0
268,25351.1,22575.08,111,6.0,0.9096929584302,1.0
269,36952.68,30371.34,106,6.0,0.8965220831636203,1.0
270,38538.33,31166.65,105,6.0,0.9177005087731146,0.0
271,23702.08,21613.27,104,6.0,0.9076291277388966,1.0
272,31176.17,28433.38,100,6.0,0.9148500849817998,1.0
273,46378.35,42826.44,113,6.0,0.9968892798412964,0.0
274,17584.51,16400.16,110,5.0,0.8632949462124371,1.0
275,29590.45,25219.01,105,6.0,0.9883346304758095,0.0
276,41674.0,35435.53,117,3.0,0.922035507020654,0.0
277,40795.02,37109.56,106,6.0,0.9435613368249312,0.0
278,11990.46,10551.52,115,6.0,0.9745274449926541,0.0
279,40298.67,35881.67,114,6.0,0.9040694543723883,1.0
280,34942.62,31768.38,110,6.0,0.914563286213195,1.0
281,40890.23,37946.18,100,6.0,0.9114277720418071,1.0
282,44301.75,36221.07,104,6.0,0.906209653380364,1.0
283,22642.97,18683.09,108,4.0,0.9888293982470342,0.0
284,32549.5,25023.94,112,5.0,0.9743394836789518,0.0
285,56714.34,49095.11,118,4.0,0.8663499984794464,1.0
286,20499.98,15522.35,110,4.0,0.8662185028715644,1.0
287,36560.04,30824.48,98,4.0,0.9141804272279487,1.0
288,44550.32,38247.74,118,6.0,0.8647986065099214,1.0
289,40342.44,32568.78,102,6.0,0.942863964290668,0.0
290,36361.12,31567.51,106,6.0,0.8715537410892601,1.0
291,37979.76,28716.5,105,5.0,0.9283559895950202,0.0
292,16549.3,12535.59,111,4.0,0.8510829920505576,1.0
293,14679.65,13424.84,108,6.0,0.897489452261897,1.0
294,45383.27,37306.78,105,2.0,0.9515786085508983,0.0
295,42986.7,33332.41,120,6.0,0.9226058410341773,0.0
296,14788.74,12636.22,114,6.0,0.9967404228998482,0.0
297,46124.86,41696.81,102,4.0,0.9811155694099316,0.0
298,41828.0,33176.48,109,5.0,0.9038606168564727,1.0
299,45178.02,39511.71,111,6.0,0.8568229812208412,1.0
300,44035.88,33778.58,116,6.0,0.9768439450172528,0.0
301,34857.95,26503.77,115,4.0,0.9866851465472007,0.0
302,35809.76,30662.86,110,6.0,0.9730941090128555,0.0
303,45348.41,38914.69,105,6.0,0.8691924911379647,1.0
304,44158.89,38748.8,97,6.0,0.9996872701618431,0.0
305,39886.05,35706.72,109,3.0,0.8887876332329161,1.0
306,38303.58,36203.41,117,6.0,0.9586307369212554,0.0
307,50233.68,42862.39,108,6.0,0.9862052314503582,0.0
308,32290.46,26303.53,111,6.0,0.8853530671496064,1.0
309,43311.26,39371.55,112,6.0,0.9862387832015599,0.0
310,36326.52,29212.57,103,6.0,0.8964222368792301,1.0
311,38021.82,31854.46,104,6.0,0.9964619833576084,0.0
312,46130.68,35321.86,110,3.0,0.8921890030570712,1.0
313,45494.76,34351.73,100,5.0,0.9930153737136753,0.0
314,44593.08,42030.3,101,6.0,0.8580316976339012,1.0
315,47377.03,43454.02,100,6.0,0.956390801750472,0.0
316,15006.58,13343.77,107,6.0,0.9298166700755506,0.0
317,43367.16,36072.4,109,5.0,0.9216815615684095,0.0
318,37859.92,29707.12,97,5.0,0.883524147138376,1.0
319,42046.93,32850.73,105,6.0,0.9558393684664738,0.0
320,37025.7,29622.36,116,6.0,0.8786214237169461,1.0
321,8472.91,7285.39,101,6.0,0.9329262693977152,0.0
322,42895.21,38301.95,114,6.0,0.8879868044560376,1.0
323,19748.7,17419.13,115,5.0,0.9933432069672035,0.0
324,22122.9,17830.77,104,6.0,0.854294679075348,1.0
325,33857.63,31859.11,115,6.0,0.8799592420166855,1.0
326,32396.62,29078.54,109,5.0,0.8863465909581172,1.0
327,21994.62,18934.52,96,4.0,0.9121101738651725,1.0
328,22892.26,19969.93,108,4.0,0.8849095362805081,1.0
329,44191.71,36852.35,109,6.0,0.9237023635403178,0.0
330,44232.82,35366.19,111,6.0,0.9808698284887809,0.0
331,38227.94,31392.58,112,5.0,0.9568095132113756,0.0
332,10656.88,9607.92,124,6.0,0.9369942970802666,0.0
333,37795.37,28455.33,101,6.0,0.863350476697402,1.0
334,32000.96,24743.61,97,4.0,0.9540988162583913,0.0
335,46327.99,35172.23,100,6.0,0.874962142646641,1.0
336,40043.9,30359.12,103,6.0,0.9679551078942547,0.0
337,9935.36,9151.38,108,6.0,0.887508513776523,1.0
338,35540.58,31657.12,108,6.0,0.9125573092481352,1.0
339,42648.52,36030.95,110,6.0,0.9025705303476892,1.0
340,36247.58,27894.93,102,6.0,0.9788220872012285,0.0
341,30577.31,25939.44,120,6.0,0.8689816688070112,1.0
342,41578.91,35121.47,108,6.0,0.9348467323577183,0.0
343,41457.72,32529.4,109,6.0,0.8713092414164593,1.0
344,33223.69,27800.6,125,4.0,0.955719375419828,0.0
345,37270.66,30923.5,115,6.0,0.9857617191691722,0.0
346,39634.57,34607.72,102,5.0,0.9151911480800881,1.0
347,24517.94,21502.69,114,6.0,0.9232138390397464,0.0
348,24887.44,18891.08,107,3.0,0.9891134254724143,0.0
349,31269.82,25795.18,100,6.0,0.9281487082974036,0.0
350,39076.82,34198.94,93,6.0,0.9231397657074342,0.0
351,40885.01,34777.9,116,6.0,0.9367493654056456,0.0
352,19875.31,18311.08,109,5.0,0.9533844604544428,0.0
353,44592.02,39318.51,107,6.0,0.8660325062630547,1.0
354,36630.32,28666.41,117,6.0,0.9731665791612274,0.0
355,39893.04,30482.82,105,6.0,0.9153257541179889,1.0
356,29048.92,25519.0,106,6.0,0.8608522764846228,1.0
357,18569.55,14025.63,110,4.0,0.967927400379732,0.0
358,39293.5,34073.56,106,6.0,0.9065424957529408,1.0
359,41457.29,38888.84,120,6.0,0.8650551242642581,1.0
360,34933.51,30220.8,113,6.0,0.9450668559314875,0.0
361,43757.19,36214.94,100,4.0,0.9820197030150463,0.0
362,32656.37,28693.76,109,6.0,0.983163026412098,0.0
363,13377.39,11259.09,114,5.0,0.993649521221346,0.0
364,40930.8,35164.61,107,5.0,0.9801558189650033,0.0
365,44570.98,41820.64,116,6.0,0.8503211379018213,1.0
366,37343.13,30891.0,99,4.0,0.9070361749620085,1.0
367,10072.8,9490.97,117,5.0,0.9727813869858255,0.0
368,38759.45,36087.77,108,5.0,0.9049379508997711,1.0
369,40540.01,31992.48,100,6.0,0.9402322759569559,0.0
370,35532.63,27142.39,114,6.0,0.9409475421061798,0.0
371,38763.98,29854.29,112,4.0,0.9047537956058235,1.0
372,42994.8,32402.78,112,6.0,0.9856710890921931,0.0
373,48713.34,37455.13,104,4.0,0.9254842518079176,0.0
374,23017.86,20407.66,109,6.0,0.9197176308906251,0.0
375,52826.48,40371.99,108,6.0,0.9996270618492844,0.0
376,34605.19,28161.54,103,3.0,0.9240250546108925,0.0
377,44785.26,41156.54,107,5.0,0.8767597377892872,1.0
378,17175.02,12961.21,116,6.0,0.9269604134295157,0.0
379,57868.73,52828.0,105,6.0,0.9721025103279894,0.0
380,35271.48,28441.9,114,6.0,0.9665290490347422,0.0
381,30853.86,23869.56,120,3.0,0.9682872647662706,0.0
382,32661.92,29047.79,107,6.0,0.9562035675996867,0.0
383,18830.4,16491.45,104,5.0,0.8881326743600032,1.0
384,36203.92,33506.53,103,6.0,0.9793126128760348,0.0
385,34869.91,31278.8,104,6.0,0.9840165198064398,0.0
386,38977.42,35496.59,112,6.0,0.8791229044927823,1.0
387,42252.78,34072.93,115,6.0,0.8695683454827091,1.0
388,55138.57,43310.68,106,6.0,0.9963407452883668,0.0
389,24352.57,21920.31,110,6.0,0.9802485945475552,0.0
390,36542.19,33303.35,114,6.0,0.983985422081492,0.0
391,11080.63,10505.56,114,6.0,0.9829564576936592,0.0
392,42617.08,35479.72,100,6.0,0.9312530236050592,0.0
393,31925.42,26319.43,98,6.0,0.9469602604998699,0.0
394,30996.28,28060.39,117,6.0,0.9318044278200462,0.0
395,48912.35,40018.16,109,6.0,0.8576809523785494,1.0
396,13516.88,12653.85,123,6.0,0.9618254628029159,0.0
397,11766.63,10845.1,104,4.0,0.9257998050003821,0.0
398,47451.02,39659.51,108,4.0,0.9471563612185344,0.0
399,39173.57,35263.04,110,6.0,0.9253959707463303,0.0
400,50046.3,45087.14,104,6.0,0.9237716983483684,0.0
401,30447.55,23463.63,97,6.0,0.875768366421665,1.0
402,32731.92,30457.4,97,6.0,0.8918070572711724,1.0
403,39898.45,33955.59,108,3.0,0.8738279037915934,1.0
404,38824.44,35535.68,116,6.0,0.8793499443438013,1.0
405,34477.68,28065.18,107,4.0,0.9959466070630457,0.0
406,43600.47,40509.4,117,6.0,0.8729670168658298,1.0
407,33912.5,28074.14,105,6.0,0.8903905636457812,1.0
408,37382.48,28117.89,94,6.0,0.9385884486607877,0.0
409,39150.96,36452.53,108,6.0,0.9415267864354963,0.0
410,42541.19,32682.58,101,4.0,0.8730961194615744,1.0
411,21257.12,17300.38,106,6.0,0.9690576138677819,0.0
412,27306.4,25668.35,107,6.0,0.9677804301869237,0.0
413,8419.32,7915.18,117,5.0,0.8855976556305837,1.0
414,47501.62,41074.06,103,5.0,0.8932999454013191,1.0
415,41611.9,36467.31,112,4.0,0.9906981798189245,0.0
416,14849.73,12469.16,113,4.0,0.9738507168969217,0.0
417,52607.1,42540.31,103,6.0,0.9546695549593786,0.0
418,38267.47,31216.03,101,6.0,0.8623349832265901,1.0
419,48555.88,42947.86,103,5.0,0.9127396121353863,1.0
420,40769.57,36711.98,105,4.0,0.9338952808115241,0.0
421,52447.4,47638.8,110,6.0,0.8781116931975665,1.0
422,54686.52,49651.19,108,6.0,0.9172339873162336,0.0
423,12881.37,9896.0,111,6.0,0.9401538816233035,0.0
424,45430.94,38565.6,111,6.0,0.8991065020173099,1.0
425,43384.38,33037.72,113,6.0,0.967141722842573,0.0
426,23815.85,20479.39,110,6.0,0.9760674372458208,0.0
427,34490.27,28913.4,121,4.0,0.8985414204151106,1.0
428,15759.62,14617.69,109,6.0,0.9757985731738685,0.0
429,47273.77,38773.14,117,5.0,0.8655364849154522,1.0
430,29204.54,22587.18,120,6.0,0.9756593647933984,0.0
431,13391.33,10426.47,111,5.0,0.8729125647501425,1.0
432,20038.34,18080.63,119,6.0,0.8624390728764589,1.0
433,38160.77,33338.92,116,6.0,0.9462663106661516,0.0
434,44123.69,33985.15,115,2.0,0.9207906048632941,0.0
435,49252.97,37768.23,107,4.0,0.9861835900619249,0.0
436,38553.64,34320.21,118,6.0,0.9044783794136274,1.0
437,49217.36,37629.26,121,5.0,0.8930728395156443,1.0
438,9325.44,8526.92,104,6.0,0.9251102359216298,0.0
439,29927.08,26672.46,117,6.0,0.9183919278652992,0.0
440,40056.4,30694.01,114,6.0,0.9016642069325782,1.0
441,41491.92,31822.96,111,6.0,0.9540611948047493,0.0
442,40011.26,37903.79,112,6.0,0.9639342750870863,0.0
443,10180.26,8397.23,109,6.0,0.9779475953545205,0.0
444,39607.09,32641.33,98,6.0,0.9959284907065514,0.0
445,32179.83,29366.02,112,6.0,0.8899984288198757,1.0
446,43340.38,40716.1,103,6.0,0.9574140223734943,0.0
447,42018.14,39799.59,111,6.0,0.9091387353243617,1.0
448,34024.12,30644.69,113,3.0,0.9515622957926662,0.0
